name;link;KOI;massJupiter;massEarth;radiusJupiter;radiusEarth;density;temp;transit;period;sma;ecc;inc;dist
Kepler-56c;http://kepler.nasa.gov/Mission/discoveries/kepler56c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01241.01&type=KEPLER_CANDIDATE;0.57;181;0.874;9.8;1.06;944;11.0797;21.40239;0.1652;;81.93;
Kepler-57b;http://kepler.nasa.gov/Mission/discoveries/kepler57b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01270.01&type=KEPLER_CANDIDATE;18.86;5994.02;0.195;2.19;;827;1.1184;5.7293196;0.059;;88.81;
Kepler-57c;http://kepler.nasa.gov/Mission/discoveries/kepler57c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01270.02&type=KEPLER_CANDIDATE;6.95;2208.83;0.138;1.55;;652;1.7064;11.6092567;0.095;;89.95;
Kepler-58b;http://kepler.nasa.gov/Mission/discoveries/kepler58b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01336.01&type=KEPLER_CANDIDATE;1.39;441.77;0.248;2.78;;918;4.3968;10.2184954;0.093;;86.52;
Kepler-58c;http://kepler.nasa.gov/Mission/discoveries/kepler58c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01336.02&type=KEPLER_CANDIDATE;2.19;696.02;0.255;2.86;;795;5.1024;15.5741568;0.124;;87.66;
Kepler-58d;http://kepler.nasa.gov/Mission/discoveries/kepler58d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01336.03&type=KEPLER_CANDIDATE;;;0.262;2.94;;581;5.4432;40.101371;0.236;;88.81;
Kepler-59b;http://kepler.nasa.gov/Mission/discoveries/kepler59b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01529.02&type=KEPLER_CANDIDATE;2.05;651.52;0.098;1.1;;880;5.976;11.8681707;0.106;;84.22;
Kepler-59c;http://kepler.nasa.gov/Mission/discoveries/kepler59c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01529.01&type=KEPLER_CANDIDATE;1.37;435.41;0.177;1.98;;766;4.1256;17.9801235;0.14;;85.37;
Kepler-60b;http://kepler.nasa.gov/Mission/discoveries/kepler60b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02086.01&type=KEPLER_CANDIDATE;0.25;79.45;0.203;2.28;;1205;4.152;7.1316185;0.075;;81.93;
Kepler-60c;http://kepler.nasa.gov/Mission/discoveries/kepler60c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02086.02&type=KEPLER_CANDIDATE;0.56;177.98;0.22;2.47;;1119;4.4064;8.9193459;0.087;;83.08;
Kepler-60d;http://kepler.nasa.gov/Mission/discoveries/kepler60d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02086.03&type=KEPLER_CANDIDATE;0.68;216.12;0.227;2.55;;1014;2.9856;11.9016171;0.106;;83.65;
Kepler-61b;http://kepler.nasa.gov/Mission/discoveries/kepler61b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01361.01&type=KEPLER_CANDIDATE;;;0.192;2.15;;273;4.8456;59.87756;0.249;;;
Kepler-62b;http://kepler.nasa.gov/Mission/discoveries/kepler62b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00701.02&type=KEPLER_CANDIDATE;0.03;9;0.117;1.31;;750;2.3112;5.714932;0.0553;;89.2;368
Kepler-62c;http://kepler.nasa.gov/Mission/discoveries/kepler62c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00701.05&type=KEPLER_CANDIDATE;0.013;4;0.048;0.54;;578;3.0192;12.4417;0.0929;;89.7;368
Kepler-62d;http://kepler.nasa.gov/Mission/discoveries/kepler62d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00701.01&type=KEPLER_CANDIDATE;0.044;14;0.174;1.95;;510;2.9712;18.16406;0.12;;89.7;368
Kepler-62e;http://kepler.nasa.gov/Mission/discoveries/kepler62e;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00701.03&type=KEPLER_CANDIDATE;0.113;36;0.144;1.61;;270;6.9192;122.3874;0.427;;89.98;368
Kepler-62f;http://kepler.nasa.gov/Mission/discoveries/kepler62f;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00701.04&type=KEPLER_CANDIDATE;0.11;35;0.126;1.41;;208;7.4592;267.291;0.718;;89.9;368
Kepler-63b;http://kepler.nasa.gov/Mission/discoveries/kepler63b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00063.01&type=KEPLER_CANDIDATE;0.378;120;0.545;6.11;;843;2.904;9.4341505;0.08;;87.806;200
Kepler-64b;http://kepler.nasa.gov/Mission/discoveries/kepler64b;;0.531;169;0.551;6.18;;481;;138.317;0.652;0.07;90.05;1000
Kepler-65b;http://kepler.nasa.gov/Mission/discoveries/kepler65b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00085.02&type=KEPLER_CANDIDATE;;;0.127;1.42;;1592;3.0768;2.15491;0.035;;79.07;
Kepler-65c;http://kepler.nasa.gov/Mission/discoveries/kepler65c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00085.01&type=KEPLER_CANDIDATE;;;0.23;2.58;;1142;3.9288;5.859944;0.068;;83.65;
Kepler-65d;http://kepler.nasa.gov/Mission/discoveries/kepler65d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00085.03&type=KEPLER_CANDIDATE;;;0.136;1.52;;1028;4.0992;8.13123;0.084;;84.8;
Kepler-66b;http://kepler.nasa.gov/Mission/discoveries/kepler66b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01958.01&type=KEPLER_CANDIDATE;;;0.25;2.8;;688;3.4131;17.815815;0.1352;;88.24;1107
Kepler-67b;http://kepler.nasa.gov/Mission/discoveries/kepler67b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02115.01&type=KEPLER_CANDIDATE;;;0.262;2.94;;648;3.9862;15.7259;0.1171;;87.66;1107
Kepler-68b;http://kepler.nasa.gov/Mission/discoveries/kepler68b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00246.01&type=KEPLER_CANDIDATE;0.026;8.3;0.206;2.31;3.32;1280;3.4584;5.398763;0.0617;;87.6;135
Kepler-68c;http://kepler.nasa.gov/Mission/discoveries/kepler68c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00246.02&type=KEPLER_CANDIDATE;0.015;4.8;0.085;0.953;28;944;3.0912;9.605085;0.09059;;86.93;135
Kepler-68d;http://kepler.nasa.gov/Mission/discoveries/kepler68d;;;;;;;;;580;1.4;;;135
Kepler-69b;http://kepler.nasa.gov/Mission/discoveries/kepler69b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00172.01&type=KEPLER_CANDIDATE;;;0.2;2.24;;779;5.2396;13.722341;0.094;0.16;89.62;
Kepler-69c;http://kepler.nasa.gov/Mission/discoveries/kepler69c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00172.02&type=KEPLER_CANDIDATE;;;0.153;1.71;;299;12.9854;242.4613;0.64;0.14;89.85;
Kepler-70b;http://kepler.nasa.gov/Mission/discoveries/kepler70b;;0.0014;0.44;0.068;0.759;;;;0.240104;0.006;;65;1180
Kepler-70c;http://kepler.nasa.gov/Mission/discoveries/kepler70c;;0.0021;0.66;0.077;0.867;;;;0.342887;0.0076;;65;1180
Kepler-71b;http://kepler.nasa.gov/Mission/discoveries/kepler71b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00217.01&type=KEPLER_CANDIDATE;;;1.11;12.442;;1028;2.8415;3.90512;0.0477;;89.8;800
Kepler-74b;http://kepler.nasa.gov/Mission/discoveries/kepler74b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00200.01&type=KEPLER_CANDIDATE;0.68;216.12;1.32;14.8;0.37;1250;2.7;7.340718;0.084;0.287;85.55;1330
Kepler-75b;http://kepler.nasa.gov/Mission/discoveries/kepler75b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00889.01&type=KEPLER_CANDIDATE;9.9;3146.4;1.03;11.55;11;850;1.872;8.884924;0.08;0.569;89.1;1140
Kepler-76b;http://kepler.nasa.gov/Mission/discoveries/kepler76b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01658.01&type=KEPLER_CANDIDATE;2;635.63;1.25;14.01;;1919;1.4841;1.54492875;0.029;;78;
