name;link;KOI;massJupiter;massEarth;radiusJupiter;radiusEarth;density;temp;transit;period;sma;ecc;inc;dist
Kepler-323c;http://kepler.nasa.gov/Mission/discoveries/kepler323c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01824.01&type=KEPLER_CANDIDATE;;;0.145;1.63;;1491;3.0504;3.553822;0.046;;84.22;
Kepler-324b;http://kepler.nasa.gov/Mission/discoveries/kepler324b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01831.02&type=KEPLER_CANDIDATE;;;0.102;1.14;;909;2.4888;4.385315;0.05;;87.66;
Kepler-324c;http://kepler.nasa.gov/Mission/discoveries/kepler324c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01831.01&type=KEPLER_CANDIDATE;;;0.281;3.15;;400;6.588;51.805612;0.26;;89.38;
Kepler-325b;http://kepler.nasa.gov/Mission/discoveries/kepler325b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01832.01&type=KEPLER_CANDIDATE;;;0.26;2.91;;1109;1.7568;4.544439;0.053;;89.38;
Kepler-325c;http://kepler.nasa.gov/Mission/discoveries/kepler325c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01832.02&type=KEPLER_CANDIDATE;;;0.227;2.54;;784;1.8384;12.762172;0.105;;88.81;
Kepler-325d;http://kepler.nasa.gov/Mission/discoveries/kepler325d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01832.03&type=KEPLER_CANDIDATE;;;0.249;2.79;;542;3.4584;38.715185;0.22;;89.95;
Kepler-326b;http://kepler.nasa.gov/Mission/discoveries/kepler326b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01835.02&type=KEPLER_CANDIDATE;;;0.136;1.52;;1664;2.0712;2.248329;0.032;;86.52;
Kepler-326c;http://kepler.nasa.gov/Mission/discoveries/kepler326c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01835.01&type=KEPLER_CANDIDATE;;;0.125;1.4;;1325;2.1408;4.580358;0.051;;87.09;
Kepler-326d;http://kepler.nasa.gov/Mission/discoveries/kepler326d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01835.03&type=KEPLER_CANDIDATE;;;0.108;1.21;;1159;1.632;6.766888;0.066;;87.09;
Kepler-327b;http://kepler.nasa.gov/Mission/discoveries/kepler327b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01867.01&type=KEPLER_CANDIDATE;;;0.099;1.11;;744;1.668;2.549575;0.029;;87.66;
Kepler-327c;http://kepler.nasa.gov/Mission/discoveries/kepler327c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01867.03&type=KEPLER_CANDIDATE;;;0.092;1.03;;589;2.1288;5.212333;0.047;;88.81;
Kepler-327d;http://kepler.nasa.gov/Mission/discoveries/kepler327d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01867.02&type=KEPLER_CANDIDATE;;;0.154;1.73;;423;1.4088;13.969457;0.09;;88.24;
Kepler-328b;http://kepler.nasa.gov/Mission/discoveries/kepler328b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01873.02&type=KEPLER_CANDIDATE;0.09;28.5;0.205;2.3;;600;10.339;34.921;0.21896;;84.24;
Kepler-328c;http://kepler.nasa.gov/Mission/discoveries/kepler328c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01873.01&type=KEPLER_CANDIDATE;0.124;39.4;0.482;5.4;;455;11.6175;71.312;0.344;;87.66;
Kepler-329b;http://kepler.nasa.gov/Mission/discoveries/kepler329b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01874.02&type=KEPLER_CANDIDATE;;;0.125;1.4;;578;2.1672;7.416397;0.061;;83.65;
Kepler-329c;http://kepler.nasa.gov/Mission/discoveries/kepler329c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01874.01&type=KEPLER_CANDIDATE;;;0.172;1.93;;426;3.948;18.684737;0.113;;86.52;
Kepler-330b;http://kepler.nasa.gov/Mission/discoveries/kepler330b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01891.02&type=KEPLER_CANDIDATE;;;0.12;1.35;;688;3.0048;8.25978;0.075;;88.24;
Kepler-330c;http://kepler.nasa.gov/Mission/discoveries/kepler330c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01891.01&type=KEPLER_CANDIDATE;;;0.174;1.95;;552;3.9168;15.955387;0.116;;89.95;
Kepler-331b;http://kepler.nasa.gov/Mission/discoveries/kepler331b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01895.01&type=KEPLER_CANDIDATE;;;0.162;1.82;;570;2.304;8.457496;0.065;;89.95;
Kepler-331c;http://kepler.nasa.gov/Mission/discoveries/kepler331c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01895.02&type=KEPLER_CANDIDATE;;;0.164;1.84;;447;2.772;17.28111;0.105;;89.38;
Kepler-331d;http://kepler.nasa.gov/Mission/discoveries/kepler331d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01895.03&type=KEPLER_CANDIDATE;;;0.146;1.64;;364;2.8152;32.134328;0.159;;89.38;
Kepler-332b;http://kepler.nasa.gov/Mission/discoveries/kepler332b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01905.01&type=KEPLER_CANDIDATE;;;0.104;1.17;;737;2.3688;7.626324;0.07;;87.66;
Kepler-332c;http://kepler.nasa.gov/Mission/discoveries/kepler332c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01905.02&type=KEPLER_CANDIDATE;;;0.097;1.09;;619;3.3792;15.995622;0.114;;89.5;
Kepler-332d;http://kepler.nasa.gov/Mission/discoveries/kepler332d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01905.03&type=KEPLER_CANDIDATE;;;0.105;1.18;;481;4.7088;34.21154;0.189;;90;
Kepler-333b;http://kepler.nasa.gov/Mission/discoveries/kepler333b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01908.01&type=KEPLER_CANDIDATE;;;0.118;1.32;;486;3.216;12.551158;0.087;;87.66;
Kepler-333c;http://kepler.nasa.gov/Mission/discoveries/kepler333c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01908.02&type=KEPLER_CANDIDATE;;;0.099;1.11;;390;3.9912;24.08821;0.135;;88.81;
Kepler-334b;http://kepler.nasa.gov/Mission/discoveries/kepler334b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01909.02&type=KEPLER_CANDIDATE;;;0.1;1.12;;1081;3.0408;5.470319;0.061;;85.94;
Kepler-334c;http://kepler.nasa.gov/Mission/discoveries/kepler334c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01909.01&type=KEPLER_CANDIDATE;;;0.128;1.43;;815;4.0872;12.758005;0.107;;87.66;
Kepler-334d;http://kepler.nasa.gov/Mission/discoveries/kepler334d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01909.03&type=KEPLER_CANDIDATE;;;0.126;1.41;;651;2.7672;25.09849;0.168;;88.24;
Kepler-335b;http://kepler.nasa.gov/Mission/discoveries/kepler335b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01915.01&type=KEPLER_CANDIDATE;;;0.302;3.39;;971;4.0344;6.562331;0.075;;87.09;
Kepler-335c;http://kepler.nasa.gov/Mission/discoveries/kepler335c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01915.02&type=KEPLER_CANDIDATE;;;0.274;3.07;;447;12.156;67.844469;0.356;;88.86;
Kepler-336b;http://kepler.nasa.gov/Mission/discoveries/kepler336b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01916.03&type=KEPLER_CANDIDATE;;;0.091;1.02;;1464;2.7624;2.024823;0.033;;69.9;
Kepler-336c;http://kepler.nasa.gov/Mission/discoveries/kepler336c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01916.02&type=KEPLER_CANDIDATE;;;0.187;2.1;;873;4.2432;9.600001;0.092;;83.08;
Kepler-336d;http://kepler.nasa.gov/Mission/discoveries/kepler336d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01916.01&type=KEPLER_CANDIDATE;;;0.211;2.37;;676;4.5144;20.678772;0.154;;85.37;
Kepler-337b;http://kepler.nasa.gov/Mission/discoveries/kepler337b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01929.02&type=KEPLER_CANDIDATE;;;0.137;1.54;;1497;4.7664;3.292781;0.045;;75.63;
Kepler-337c;http://kepler.nasa.gov/Mission/discoveries/kepler337c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01929.01&type=KEPLER_CANDIDATE;;;0.183;2.05;;1046;5.508;9.693201;0.093;;82.51;
Kepler-338b;http://kepler.nasa.gov/Mission/discoveries/kepler338b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01930.01&type=KEPLER_CANDIDATE;;;0.218;2.44;;938;7.2888;13.726976;0.117;;87.09;
Kepler-338c;http://kepler.nasa.gov/Mission/discoveries/kepler338c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01930.02&type=KEPLER_CANDIDATE;;;0.209;2.34;;775;8.82;24.310856;0.172;;87.66;
Kepler-338d;http://kepler.nasa.gov/Mission/discoveries/kepler338d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01930.03&type=KEPLER_CANDIDATE;;;0.268;3;;634;10.6248;44.431014;0.257;;88.24;
Kepler-339b;http://kepler.nasa.gov/Mission/discoveries/kepler339b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01931.01&type=KEPLER_CANDIDATE;;;0.127;1.42;;956;2.5536;4.977656;0.055;;84.8;
Kepler-339c;http://kepler.nasa.gov/Mission/discoveries/kepler339c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01931.03&type=KEPLER_CANDIDATE;;;0.103;1.15;;855;3.1512;6.988055;0.069;;85.94;
Kepler-339d;http://kepler.nasa.gov/Mission/discoveries/kepler339d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01931.02&type=KEPLER_CANDIDATE;;;0.104;1.17;;746;3.4104;10.558345;0.091;;87.09;
Kepler-340b;http://kepler.nasa.gov/Mission/discoveries/kepler340b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01932.02&type=KEPLER_CANDIDATE;;;0.226;2.53;;1673;5.6256;14.844387;0.134;;87.14;
Kepler-340c;http://kepler.nasa.gov/Mission/discoveries/kepler340c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01932.01&type=KEPLER_CANDIDATE;;;0.301;3.37;;1361;6.6144;22.824669;0.178;;89.38;
Kepler-341b;http://kepler.nasa.gov/Mission/discoveries/kepler341b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01952.03&type=KEPLER_CANDIDATE;;;0.105;1.18;;1095;3.816;5.195528;0.06;;82.51;
Kepler-341c;http://kepler.nasa.gov/Mission/discoveries/kepler341c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01952.01&type=KEPLER_CANDIDATE;;;0.152;1.7;;946;4.2168;8.01041;0.08;;84.8;
Kepler-341d;http://kepler.nasa.gov/Mission/discoveries/kepler341d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01952.02&type=KEPLER_CANDIDATE;;;0.165;1.85;;627;6.048;27.666313;0.182;;87.66;
Kepler-341e;http://kepler.nasa.gov/Mission/discoveries/kepler341e;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01952.04&type=KEPLER_CANDIDATE;;;0.178;1.99;;544;7.1688;42.473269;0.242;;88.24;
Kepler-342b;http://kepler.nasa.gov/Mission/discoveries/kepler342b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01955.01&type=KEPLER_CANDIDATE;;;0.201;2.25;;849;4.0152;15.170318;0.128;;85.37;
Kepler-342c;http://kepler.nasa.gov/Mission/discoveries/kepler342c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01955.04&type=KEPLER_CANDIDATE;;;0.175;1.96;;723;2.436;26.234138;0.185;;89.27;
Kepler-342d;http://kepler.nasa.gov/Mission/discoveries/kepler342d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01955.02&type=KEPLER_CANDIDATE;;;0.222;2.49;;616;8.1648;39.459357;0.242;;87.66;
Kepler-343b;http://kepler.nasa.gov/Mission/discoveries/kepler343b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01960.01&type=KEPLER_CANDIDATE;;;0.215;2.41;;947;4.3272;8.96855;0.088;;89.38;
Kepler-343c;http://kepler.nasa.gov/Mission/discoveries/kepler343c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01960.02&type=KEPLER_CANDIDATE;;;0.18;2.02;;689;2.7072;23.22182;0.167;;89.8;
Kepler-344b;http://kepler.nasa.gov/Mission/discoveries/kepler344b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01970.01&type=KEPLER_CANDIDATE;;;0.233;2.61;;641;2.676;21.963945;0.153;;88.81;
Kepler-344c;http://kepler.nasa.gov/Mission/discoveries/kepler344c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01970.02&type=KEPLER_CANDIDATE;;;0.263;2.95;;359;7.5336;125.596809;0.488;;89.95;
Kepler-345b;http://kepler.nasa.gov/Mission/discoveries/kepler345b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01977.02&type=KEPLER_CANDIDATE;;;0.066;0.74;;589;1.9704;7.415563;0.066;;89.38;
Kepler-345c;http://kepler.nasa.gov/Mission/discoveries/kepler345c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01977.01&type=KEPLER_CANDIDATE;;;0.107;1.2;;543;1.5552;9.387427;0.077;;89.38;
Kepler-346b;http://kepler.nasa.gov/Mission/discoveries/kepler346b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01978.01&type=KEPLER_CANDIDATE;;;0.237;2.66;;987;1.5096;6.511127;0.071;;85.37;
Kepler-346c;http://kepler.nasa.gov/Mission/discoveries/kepler346c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01978.02&type=KEPLER_CANDIDATE;;;0.274;3.07;;642;2.3856;23.851549;0.168;;88.24;
Kepler-347b;http://kepler.nasa.gov/Mission/discoveries/kepler347b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01992.01&type=KEPLER_CANDIDATE;;;0.176;1.97;;794;6.2448;12.79836;0.11;;89.95;
Kepler-347c;http://kepler.nasa.gov/Mission/discoveries/kepler347c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K01992.02&type=KEPLER_CANDIDATE;;;0.156;1.75;;630;3.9264;27.320871;0.183;;89.4;
Kepler-348b;http://kepler.nasa.gov/Mission/discoveries/kepler348b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02011.01&type=KEPLER_CANDIDATE;;;0.136;1.52;;1060;1.908;7.05677;0.076;;84.22;
Kepler-348c;http://kepler.nasa.gov/Mission/discoveries/kepler348c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02011.02&type=KEPLER_CANDIDATE;;;0.119;1.33;;824;5.1864;17.265427;0.138;;88.8;
Kepler-349b;http://kepler.nasa.gov/Mission/discoveries/kepler349b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02022.01&type=KEPLER_CANDIDATE;;;0.17;1.9;;989;2.364;5.929778;0.065;;87.66;
Kepler-349c;http://kepler.nasa.gov/Mission/discoveries/kepler349c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02022.02&type=KEPLER_CANDIDATE;;;0.175;1.96;;772;3.2784;12.247629;0.105;;88.81;
Kepler-350b;http://kepler.nasa.gov/Mission/discoveries/kepler350b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02025.03&type=KEPLER_CANDIDATE;;;0.165;1.85;;993;5.1192;11.189562;0.104;;84.8;
Kepler-350c;http://kepler.nasa.gov/Mission/discoveries/kepler350c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02025.01&type=KEPLER_CANDIDATE;0.019;6.1;0.277;3.1;;850;5.9602;17.849;0.139;;85.94;
Kepler-350d;http://kepler.nasa.gov/Mission/discoveries/kepler350d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02025.02&type=KEPLER_CANDIDATE;0.047;14.9;0.25;2.8;;747;6.9105;26.136;0.18;;87.09;
Kepler-351b;http://kepler.nasa.gov/Mission/discoveries/kepler351b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02028.02&type=KEPLER_CANDIDATE;;;0.273;3.06;;498;5.1216;37.054919;0.214;;89.38;
Kepler-351c;http://kepler.nasa.gov/Mission/discoveries/kepler351c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02028.01&type=KEPLER_CANDIDATE;;;0.285;3.19;;431;5.9232;57.24809;0.287;;89.38;
Kepler-352b;http://kepler.nasa.gov/Mission/discoveries/kepler352b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02029.02&type=KEPLER_CANDIDATE;;;0.077;0.86;;669;2.964;10.05537;0.085;;89.95;
Kepler-352c;http://kepler.nasa.gov/Mission/discoveries/kepler352c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02029.01&type=KEPLER_CANDIDATE;;;0.111;1.24;;572;2.1216;16.332995;0.118;;88.81;
Kepler-353b;http://kepler.nasa.gov/Mission/discoveries/kepler353b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02036.02&type=KEPLER_CANDIDATE;;;0.079;0.89;;575;2.184;5.795278;0.051;;88.24;
Kepler-353c;http://kepler.nasa.gov/Mission/discoveries/kepler353c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02036.01&type=KEPLER_CANDIDATE;;;0.123;1.38;;510;2.2536;8.410894;0.065;;88.81;
Kepler-354b;http://kepler.nasa.gov/Mission/discoveries/kepler354b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02045.01&type=KEPLER_CANDIDATE;;;0.164;1.84;;699;2.5032;5.47666;0.054;;89.38;
Kepler-354c;http://kepler.nasa.gov/Mission/discoveries/kepler354c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02045.03&type=KEPLER_CANDIDATE;;;0.117;1.31;;508;3.456;16.934402;0.115;;87.9;
Kepler-354d;http://kepler.nasa.gov/Mission/discoveries/kepler354d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02045.02&type=KEPLER_CANDIDATE;;;0.111;1.24;;427;4.3728;24.209842;0.146;;89.38;
Kepler-355b;http://kepler.nasa.gov/Mission/discoveries/kepler355b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02051.02&type=KEPLER_CANDIDATE;;;0.13;1.46;;841;4.9344;11.03189;0.102;;84.8;
Kepler-355c;http://kepler.nasa.gov/Mission/discoveries/kepler355c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02051.01&type=KEPLER_CANDIDATE;;;0.242;2.71;;634;6.816;25.762294;0.179;;87.09;
Kepler-356b;http://kepler.nasa.gov/Mission/discoveries/kepler356b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02053.02&type=KEPLER_CANDIDATE;;;0.14;1.57;;1280;2.9712;4.612696;0.057;;88.24;
Kepler-356c;http://kepler.nasa.gov/Mission/discoveries/kepler356c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02053.01&type=KEPLER_CANDIDATE;;;0.161;1.81;;901;3.6264;13.121632;0.115;;88.24;
Kepler-357b;http://kepler.nasa.gov/Mission/discoveries/kepler357b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02073.02&type=KEPLER_CANDIDATE;;;0.164;1.84;;755;2.652;6.475434;0.063;;88.24;
Kepler-357c;http://kepler.nasa.gov/Mission/discoveries/kepler357c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02073.03&type=KEPLER_CANDIDATE;;;0.238;2.67;;547;2.016;16.85837;0.12;;88.24;
Kepler-357d;http://kepler.nasa.gov/Mission/discoveries/kepler357d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02073.01&type=KEPLER_CANDIDATE;;;0.306;3.43;;383;6.5928;49.499875;0.246;;89.95;
Kepler-358b;http://kepler.nasa.gov/Mission/discoveries/kepler358b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02080.02&type=KEPLER_CANDIDATE;;;0.243;2.72;;539;2.46;34.060467;0.21;;89.38;
Kepler-358c;http://kepler.nasa.gov/Mission/discoveries/kepler358c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02080.01&type=KEPLER_CANDIDATE;;;0.254;2.85;;400;6.0888;83.488369;0.381;;89.95;
Kepler-359b;http://kepler.nasa.gov/Mission/discoveries/kepler359b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02092.02&type=KEPLER_CANDIDATE;;;0.315;3.53;;572;4.284;25.563222;0.178;;88.81;
Kepler-359c;http://kepler.nasa.gov/Mission/discoveries/kepler359c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02092.01&type=KEPLER_CANDIDATE;;;0.384;4.3;;435;4.1616;57.68802;0.307;;89.38;
Kepler-359d;http://kepler.nasa.gov/Mission/discoveries/kepler359d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02092.03&type=KEPLER_CANDIDATE;;;0.358;4.01;;460;3.4752;77.095691;0.372;;89.75;
Kepler-360b;http://kepler.nasa.gov/Mission/discoveries/kepler360b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02111.01&type=KEPLER_CANDIDATE;;;0.147;1.65;;1287;2.3112;3.289672;0.044;;84.8;
Kepler-360c;http://kepler.nasa.gov/Mission/discoveries/kepler360c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02111.02&type=KEPLER_CANDIDATE;;;0.187;2.1;;999;1.4064;7.186434;0.075;;85.94;
Kepler-361b;http://kepler.nasa.gov/Mission/discoveries/kepler361b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02135.03&type=KEPLER_CANDIDATE;;;0.129;1.45;;1048;5.1768;8.486616;0.086;;82.5;
Kepler-361c;http://kepler.nasa.gov/Mission/discoveries/kepler361c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02135.01&type=KEPLER_CANDIDATE;;;0.225;2.52;;568;9.168;55.188023;0.3;;88.81;
Kepler-362b;http://kepler.nasa.gov/Mission/discoveries/kepler362b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02147.02&type=KEPLER_CANDIDATE;;;0.079;0.88;;803;1.8024;10.327186;0.087;;89;
Kepler-362c;http://kepler.nasa.gov/Mission/discoveries/kepler362c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02147.01&type=KEPLER_CANDIDATE;;;0.129;1.45;;521;4.7688;37.866281;0.207;;89.95;
Kepler-363b;http://kepler.nasa.gov/Mission/discoveries/kepler363b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02148.03&type=KEPLER_CANDIDATE;;;0.103;1.16;;1577;3.4008;3.614568;0.048;;80.79;
Kepler-363c;http://kepler.nasa.gov/Mission/discoveries/kepler363c;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02148.02&type=KEPLER_CANDIDATE;;;0.151;1.69;;1232;4.9008;7.542427;0.079;;84.8;
Kepler-363d;http://kepler.nasa.gov/Mission/discoveries/kepler363d;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K02148.01&type=KEPLER_CANDIDATE;;;0.183;2.05;;1055;6.3504;11.932125;0.107;;86.52;
